T21,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
202,Sub-Saharan Africa,1995,Balance imports/exports (millions of US dollars),,,"1,127",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
202,Sub-Saharan Africa,2005,Balance imports/exports (millions of US dollars),,,"33,895",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
202,Sub-Saharan Africa,2010,Balance imports/exports (millions of US dollars),,,"43,762",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
202,Sub-Saharan Africa,2015,Balance imports/exports (millions of US dollars),,,"-45,632",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
202,Sub-Saharan Africa,2022,Balance imports/exports (millions of US dollars),,,"-26,720",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
202,Sub-Saharan Africa,2023,Balance imports/exports (millions of US dollars),,,"-51,129",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
202,Sub-Saharan Africa,2024,Balance imports/exports (millions of US dollars),,,"9,297",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,1995,Imports CIF (millions of US dollars),,,"17,980",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2005,Imports CIF (millions of US dollars),,,"31,243",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2010,Imports CIF (millions of US dollars),,,"62,688",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2015,Imports CIF (millions of US dollars),,,"93,529",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2022,Imports CIF (millions of US dollars),,,"129,150",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2023,Imports CIF (millions of US dollars),,,"125,581",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2024,Imports CIF (millions of US dollars),,,"107,332",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,1995,Exports FOB (millions of US dollars),,,"9,499",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2005,Exports FOB (millions of US dollars),,,"16,297",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2010,Exports FOB (millions of US dollars),,,"31,652",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2015,Exports FOB (millions of US dollars),,,"39,711",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2022,Exports FOB (millions of US dollars),,,"63,229",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2023,Exports FOB (millions of US dollars),,,"65,358",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2024,Exports FOB (millions of US dollars),,,"68,698",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
