country_code,country_name,year,balance_usd_m,exports_usd_m,imports_usd_m
108,Burundi,2010,-286.0,118.0,404.0
108,Burundi,2015,-447.0,114.0,561.0
108,Burundi,2022,-1053.0,208.0,1260.0
108,Burundi,2023,-978.0,186.0,1164.0
108,Burundi,2024,-725.0,117.0,842.0
132,Cabo Verde,1995,-243.0,9.0,252.0
132,Cabo Verde,2005,-349.0,89.0,438.0
132,Cabo Verde,2010,-511.0,220.0,731.0
132,Cabo Verde,2015,-537.0,67.0,603.0
132,Cabo Verde,2022,-1463.0,310.0,1772.0
132,Cabo Verde,2023,-1477.0,282.0,1759.0
132,Cabo Verde,2024,-1743.0,277.0,2020.0
116,Cambodia,1995,-142.0,76.0,217.0
116,Cambodia,2005,467.0,3019.0,2552.0
116,Cambodia,2010,688.0,5590.0,4903.0
116,Cambodia,2015,-2126.0,8542.0,10669.0
116,Cambodia,2022,-9366.0,20576.0,29942.0
116,Cambodia,2023,-2734.0,21677.0,24411.0
116,Cambodia,2024,-4210.0,24436.0,28646.0
120,Cameroon,1995,460.0,1539.0,1079.0
120,Cameroon,2005,49.0,2849.0,2800.0
120,Cameroon,2010,-1255.0,3878.0,5133.0
120,Cameroon,2015,-1984.0,4053.0,6037.0
120,Cameroon,2022,-2394.0,6062.0,8457.0
120,Cameroon,2023,-4231.0,4661.0,8892.0
120,Cameroon,2024,-2467.0,6422.0,8889.0
124,Canada,1995,26747.0,191118.0,164371.0
124,Canada,2005,46108.0,360552.0,314444.0
124,Canada,2010,-5529.0,386580.0,392109.0
124,Canada,2015,-10677.0,408697.0,419375.0
124,Canada,2022,25182.0,596761.0,571579.0
124,Canada,2023,8199.0,566655.0,558455.0
124,Canada,2024,10720.0,569169.0,558449.0
29,Caribbean,1995,-12598.0,8346.0,20945.0
29,Caribbean,2005,-15592.0,21331.0,36923.0
29,Caribbean,2010,-28371.0,24874.0,53245.0
29,Caribbean,2015,-28446.0,25244.0,53690.0
29,Caribbean,2022,-44434.0,28181.0,72615.0
29,Caribbean,2023,-49849.0,26519.0,76368.0
29,Caribbean,2024,-45769.0,25701.0,71469.0
136,Cayman Islands,1995,-386.0,4.0,390.0
136,Cayman Islands,2005,-1138.0,52.0,1191.0
136,Cayman Islands,2010,-804.0,24.0,828.0
136,Cayman Islands,2015,-851.0,65.0,915.0
136,Cayman Islands,2022,-1758.0,38.0,1796.0
136,Cayman Islands,2023,-1787.0,45.0,1832.0
140,Central African Republic,1995,-146.0,120.0,265.0
140,Central African Republic,2005,-75.0,111.0,185.0
140,Central African Republic,2010,-120.0,90.0,210.0
140,Central African Republic,2015,-360.0,97.0,457.0
140,Central African Republic,2022,-508.0,116.0,623.0
140,Central African Republic,2023,-629.0,113.0,742.0
140,Central African Republic,2024,-532.0,74.0,606.0
13,Central America,1995,-17.0,87067.0,87084.0
13,Central America,2005,-26340.0,233506.0,259847.0
13,Central America,2010,-29642.0,336529.0,366171.0
13,Central America,2015,-48888.0,427547.0,476435.0
13,Central America,2022,-83748.0,633145.0,716893.0
13,Central America,2023,-56615.0,650742.0,707357.0
13,Central America,2024,-63784.0,676604.0,740388.0
143,Central Asia,1995,1407.0,10782.0,9375.0
143,Central Asia,2005,11246.0,36890.0,25644.0
143,Central Asia,2010,33976.0,74961.0,40985.0
143,Central Asia,2015,-967.0,63093.0,64061.0
143,Central Asia,2022,31243.0,108901.0,77658.0
143,Central Asia,2023,183.0,118791.0,118608.0
143,Central Asia,2024,-4906.0,127993.0,132899.0
148,Chad,1995,28.0,243.0,214.0
148,Chad,2005,2142.0,3095.0,953.0
148,Chad,2010,904.0,3410.0,2507.0
148,Chad,2015,1323.0,2223.0,900.0
148,Chad,2022,3307.0,4572.0,1266.0
148,Chad,2023,2830.0,4225.0,1395.0
148,Chad,2024,3196.0,4756.0,1560.0
152,Chile,1995,998.0,15901.0,14903.0
152,Chile,2005,9046.0,41973.0,32927.0
152,Chile,2010,12099.0,71106.0,59007.0
152,Chile,2015,-201.0,62118.0,62319.0
152,Chile,2022,-6049.0,98557.0,104606.0
152,Chile,2023,9430.0,94936.0,85505.0
152,Chile,2024,14801.0,99094.0,84292.0
156,China,1995,17263.0,148616.0,131353.0
156,China,2005,102001.0,761953.0,659953.0
156,China,2010,181762.0,1577764.0,1396002.0
156,China,2015,593904.0,2273468.0,1679564.0
156,China,2022,877604.0,3593601.0,2715998.0
156,China,2023,822985.0,3379748.0,2556763.0
156,China,2024,991409.0,3576543.0,2585135.0
344,"China, Hong Kong SAR",1995,-22201.0,173871.0,196072.0
344,"China, Hong Kong SAR",2005,-8042.0,292119.0,300160.0
344,"China, Hong Kong SAR",2010,-40677.0,400692.0,441369.0
344,"China, Hong Kong SAR",2015,-48753.0,510553.0,559306.0
344,"China, Hong Kong SAR",2022,-58345.0,610138.0,668483.0
344,"China, Hong Kong SAR",2023,-79780.0,575044.0,654824.0
344,"China, Hong Kong SAR",2024,-58493.0,639411.0,697904.0
446,"China, Macao SAR",1995,-1.0,2025.0,2025.0
446,"China, Macao SAR",2005,-2040.0,2474.0,4514.0
446,"China, Macao SAR",2010,-4760.0,870.0,5629.0
446,"China, Macao SAR",2015,-9264.0,1339.0,10603.0
446,"China, Macao SAR",2022,-16064.0,1367.0,17431.0
446,"China, Macao SAR",2023,-16339.0,1222.0,17561.0
446,"China, Macao SAR",2024,-14823.0,1070.0,15892.0
170,Colombia,1995,-3682.0,10201.0,13883.0
170,Colombia,2005,-14.0,21190.0,21204.0
170,Colombia,2010,-863.0,39820.0,40683.0
170,Colombia,2015,-18345.0,35691.0,54036.0
170,Colombia,2022,-20500.0,56910.0,77410.0
170,Colombia,2023,-13011.0,49769.0,62781.0
170,Colombia,2024,-14294.0,49826.0,64120.0
174,Comoros,1995,-51.0,11.0,62.0
174,Comoros,2005,-81.0,4.0,85.0
