country_code,country_name,is_aggregate,is_historical,plotly_name,is_mappable
203,Czechia,False,False,Czech Republic,True
384,Côte dIvoire,False,False,Côte dIvoire,True
408,Dem. People's Rep. Korea,False,False,North Korea,True
180,Dem. Rep. of the Congo,False,False,Democratic Republic of the Congo,True
208,Denmark,False,False,Denmark,True
262,Djibouti,False,False,Djibouti,True
212,Dominica,False,False,Dominica,True
214,Dominican Republic,False,False,Dominican Republic,True
14,Eastern Africa,True,False,Eastern Africa,False
30,Eastern Asia,True,False,Eastern Asia,False
151,Eastern Europe,True,False,Eastern Europe,False
218,Ecuador,False,False,Ecuador,True
818,Egypt,False,False,Egypt,True
222,El Salvador,False,False,El Salvador,True
226,Equatorial Guinea,False,False,Equatorial Guinea,True
232,Eritrea,False,False,Eritrea,True
233,Estonia,False,False,Estonia,True
748,Eswatini,False,False,Eswatini,True
231,Ethiopia,False,False,Ethiopia,True
150,Europe,True,False,Europe,False
238,Falkland Islands (Malvinas),False,False,Falkland Islands (Malvinas),True
234,Faroe Islands,False,False,Faroe Islands,True
242,Fiji,False,False,Fiji,True
246,Finland,False,False,Finland,True
250,France,False,False,France,True
254,French Guiana,False,False,French Guiana,True
258,French Polynesia,False,False,French Polynesia,True
266,Gabon,False,False,Gabon,True
270,Gambia,False,False,Gambia,True
268,Georgia,False,False,Georgia,True
276,Germany,False,False,Germany,True
288,Ghana,False,False,Ghana,True
292,Gibraltar,False,False,Gibraltar,True
300,Greece,False,False,Greece,True
304,Greenland,False,False,Greenland,True
308,Grenada,False,False,Grenada,True
312,Guadeloupe,False,False,Guadeloupe,True
320,Guatemala,False,False,Guatemala,True
324,Guinea,False,False,Guinea,True
624,Guinea-Bissau,False,False,Guinea-Bissau,True
328,Guyana,False,False,Guyana,True
332,Haiti,False,False,Haiti,True
340,Honduras,False,False,Honduras,True
348,Hungary,False,False,Hungary,True
352,Iceland,False,False,Iceland,True
356,India,False,False,India,True
360,Indonesia,False,False,Indonesia,True
364,Iran (Islamic Republic of),False,False,Iran,True
368,Iraq,False,False,Iraq,True
372,Ireland,False,False,Ireland,True
376,Israel,False,False,Israel,True
380,Italy,False,False,Italy,True
388,Jamaica,False,False,Jamaica,True
392,Japan,False,False,Japan,True
400,Jordan,False,False,Jordan,True
398,Kazakhstan,False,False,Kazakhstan,True
404,Kenya,False,False,Kenya,True
296,Kiribati,False,False,Kiribati,True
414,Kuwait,False,False,Kuwait,True
417,Kyrgyzstan,False,False,Kyrgyzstan,True
418,Lao People's Dem. Rep.,False,False,Laos,True
419,Latin America & the Caribbean,True,False,Latin America & the Caribbean,False
428,Latvia,False,False,Latvia,True
422,Lebanon,False,False,Lebanon,True
426,Lesotho,False,False,Lesotho,True
430,Liberia,False,False,Liberia,True
434,Libya,False,False,Libya,True
440,Lithuania,False,False,Lithuania,True
442,Luxembourg,False,False,Luxembourg,True
450,Madagascar,False,False,Madagascar,True
454,Malawi,False,False,Malawi,True
458,Malaysia,False,False,Malaysia,True
462,Maldives,False,False,Maldives,True
466,Mali,False,False,Mali,True
